State,State ab,RTO,RT Office
HR,Haryana,40,Assandh
HR,Haryana,41,Pehowa
HR,Haryana,42,Ganaur
HR,Haryana,43,Kosli
HR,Haryana,44,Ellenabad
HR,Haryana,45,Karnal
HR,Haryana,46,Rohtak
HR,Haryana,47,Rewari
HR,Haryana,48,Tosham
HR,Haryana,49,Kalka
HR,Haryana,50,Hodal
HR,Haryana,51,Faridabadÿ(Faridabad North)
HR,Haryana,52,Hathin
HR,Haryana,53,Adampur
HR,Haryana,54,Barara
HR,Haryana,55,Gurugram
HR,Haryana,56,Jind
HR,Haryana,57,Sirsa
HR,Haryana,58,Yamunanagar
HR,Haryana,59,Ratia
HR,Haryana,60,Samalkha
HR,Haryana,61,Bhiwani
HR,Haryana,62,Fatehabad
HR,Haryana,63,Jhajjar
HR,Haryana,64,Kaithal
HR,Haryana,65,Kurukshetra
HR,Haryana,66,Narnaul
HR,Haryana,67,Panipat
HR,Haryana,68,Panchkula
HR,Haryana,69,Sonipat
HR,Haryana,70,Chandigarh
HR,Haryana,71,Bilaspur
HR,Haryana,72,Sohna
HR,Haryana,73,Palwal
HR,Haryana,74,Nuh
HR,Haryana,75,Indri
HR,Haryana,76,Pataudi
HR,Haryana,77,Beri
HR,Haryana,78,Shahabad Markanda
HR,Haryana,79,Kharkhoda
HR,Haryana,80,Barwala
HR,Haryana,81,Bawal
HR,Haryana,82,Kanina
HR,Haryana,83,Kalayat
HR,Haryana,84,Charkhi Dadri
HR,Haryana,85,Ambala Cantt
HR,Haryana,86,Narnaund
HR,Haryana,87,Badkhal (Faridabad West)
HR,Haryana,88,Badhra
HR,Haryana,89,Badli
HR,Haryana,90,Uchana
HR,Haryana,91,Gharaunda
HR,Haryana,92,Radaur
HR,Haryana,93,Punhana
HR,Haryana,94,Kalanwali
HR,Haryana,95,Sampla
HR,Haryana,96,Taoru
HR,Haryana,97,Ladwa
HR,Haryana,98,Badshahpurÿ(Gurugram South)
HR,Haryana,99,EntireÿHaryana
JH,Jharkhand,1,Ranchi
JH,Jharkhand,2,Hazaribagh
JH,Jharkhand,3,Daltonganj
JH,Jharkhand,4,Dumka
JH,Jharkhand,5,Jamshedpur
JH,Jharkhand,6,Chaibasa
JH,Jharkhand,7,Gumla
JH,Jharkhand,8,Lohardaga
JH,Jharkhand,9,Bokaro
JH,Jharkhand,10,Dhanbad
JH,Jharkhand,11,Giridih
JH,Jharkhand,12,Koderma
JH,Jharkhand,13,Chatra
JH,Jharkhand,14,Garhwa
JH,Jharkhand,15,Deoghar
JH,Jharkhand,16,Pakur
JH,Jharkhand,17,Godda
JH,Jharkhand,18,Sahibganj
JH,Jharkhand,19,Latehar
JH,Jharkhand,20,Simdega
JH,Jharkhand,21,Jamtara
JH,Jharkhand,22,Seraikela Kharsawan
JH,Jharkhand,23,Khunti
JH,Jharkhand,24,Ramgarh
JK,Jammu and Kashmir,1,Srinagar
JK,Jammu and Kashmir,2,Jammu
JK,Jammu and Kashmir,3,Anantnag
JK,Jammu and Kashmir,4,Budgam
JK,Jammu and Kashmir,5,Baramulla
JK,Jammu and Kashmir,6,Doda
JK,Jammu and Kashmir,8,"Lakhanpur,ÿKathua"
JK,Jammu and Kashmir,9,Kupwara
JK,Jammu and Kashmir,11,Rajouri
JK,Jammu and Kashmir,12,Poonch
JK,Jammu and Kashmir,13,Pulwama
JK,Jammu and Kashmir,14,Udhampur
JK,Jammu and Kashmir,15,Bandipora
JK,Jammu and Kashmir,16,Ganderbal
JK,Jammu and Kashmir,17,Kishtwar
JK,Jammu and Kashmir,18,Kulgam
JK,Jammu and Kashmir,19,Ramban
JK,Jammu and Kashmir,20,Reasi
JK,Jammu and Kashmir,21,Samba
JK,Jammu and Kashmir,22,Shopian
KA,Karnataka,1,BengaluruÿCentral
KA,Karnataka,2,BengaluruÿWest
KA,Karnataka,3,BengaluruÿEast
KA,Karnataka,4,BengaluruÿNorth
KA,Karnataka,5,BengaluruÿSouth
KA,Karnataka,6,Tumakuru
KA,Karnataka,7,Kolar
KA,Karnataka,8,"Kolar Gold Fields, Kolar District"
KA,Karnataka,9,MysuruÿWest
KA,Karnataka,10,Chamarajanagar
KA,Karnataka,11,Mandya
KA,Karnataka,12,"Madikeri, Kodagu District"
KA,Karnataka,13,Hassan
KA,Karnataka,14,Shivamogga
KA,Karnataka,15,"Sagara, Shivamogga District"
KA,Karnataka,16,Chitradurga
KA,Karnataka,17,Davanagere
KA,Karnataka,18,Chikkamagaluru
KA,Karnataka,19,"Mangaluru, Dakshina Kannada District"
KA,Karnataka,20,Udupi
KA,Karnataka,21,"Puttur, Dakshina Kannada District"
KA,Karnataka,22,Belagavi
KA,Karnataka,23,"Chikkodi, Belagavi District"
KA,Karnataka,24,"Bailhongal, Belagavi District"
KA,Karnataka,25,DharwadÿWest
KA,Karnataka,26,Gadag
KA,Karnataka,27,Haveri
KA,Karnataka,28,Vijayapura
KA,Karnataka,29,Bagalkote
KA,Karnataka,30,"Karwar, Uttara Kannada District"
KA,Karnataka,31,"Sirsi, Uttara Kannada District"
KA,Karnataka,32,Kalaburagi
KA,Karnataka,33,Yadgir
KA,Karnataka,34,Ballari
KA,Karnataka,35,"Hosapete, Vijayanagara District"
KA,Karnataka,36,Raichur
KA,Karnataka,37,Koppal
KA,Karnataka,38,Bidar
KA,Karnataka,39,"Bhalki, Bidar District"
KA,Karnataka,40,Chikkaballapura
KA,Karnataka,41,"Jnana Bharathi, Bengaluru"
KA,Karnataka,42,Ramanagara
KA,Karnataka,43,"Devanahalli, Bengaluru Rural District"
KA,Karnataka,44,"Tiptur, Tumkur District"
KA,Karnataka,45,"Hunsur, Mysuru District"
KA,Karnataka,46,"Sakleshpura, Hassan District"
KA,Karnataka,47,"Honnavar, Uttara Kannada District"
KA,Karnataka,48,"Jamkhandi, Bagalkote District"
KA,Karnataka,49,"Gokak, Belagavi District"
KA,Karnataka,50,"Yelahanka, Bengaluru"
KA,Karnataka,51,"Electronic City, Bengaluru"
KA,Karnataka,52,"Nelamangala, Bengaluru Rural District"
KA,Karnataka,53,"Krishnarajapuram, Bengaluru"
KA,Karnataka,54,"Nagamangala, Mandya District"
KA,Karnataka,55,MysuruÿEast
KA,Karnataka,56,"Basavakalyan, Bidar District"
KA,Karnataka,57,"ShantinagaraÿKSRTC, Bengaluru"
KA,Karnataka,59,"Chandapura, Bengaluru Urban District"
KA,Karnataka,63,DharwadÿEast
KA,Karnataka,64,"Madhugiri, Tumkur District"
KA,Karnataka,65,"Dandeli, Uttara Kannada District"
KA,Karnataka,66,"Tarikere, Chikkamagaluru District"
KA,Karnataka,67,"Chintamani, Chikkaballapura District"
KA,Karnataka,68,"Ranebennur, Haveri District"
KA,Karnataka,69,"Ramdurg, Belagavi District"
KA,Karnataka,70,"Bantwal, Dakshina Kannada District"
KA,Karnataka,71,"Athani, Belagavi District"
KL,Kerala,1,Thiruvananthapuram
KL,Kerala,2,Kollam
KL,Kerala,3,Pathanamthitta
